anio,mes,valor
2008,1,24377.39273734
2008,2,21817.60368735
2008,3,19874.246424889996
2008,4,22574.032167110003
2008,5,26632.21659437
2008,6,26032.75676773
2008,7,27850.04422644
2008,8,26830.066194219995
2008,9,26557.34690683
2008,10,26980.23536391
2008,11,23939.772206740006
2008,12,25595.75893828
2009,1,26341.99286793
2009,2,24618.111115859996
2009,3,23594.13239461
2009,4,24922.02994252
2009,5,29152.063006480006
2009,6,28697.891123939997
2009,7,29647.62801308
2009,8,27027.90397421
2009,9,28216.983695649997
2009,10,28390.51489107
2009,11,28188.98578692
2009,12,30387.187741100006
2010,1,31660.84800384
2010,2,29774.62342244
2010,3,30876.326991100002
2010,4,32470.24014923
2010,5,41815.82919084
2010,6,39857.299845010006
2010,7,40758.86626167999
2010,8,37333.07169281
2010,9,38480.61032311
2010,10,38838.25793877
2010,11,39326.40124825001
2010,12,41226.91432949
2011,1,44794.02591717
2011,2,40083.04920091
2011,3,40646.198282979996
2011,4,42949.11376343001
2011,5,54192.97624705001
2011,6,52236.509189439996
2011,7,52630.13041980001
2011,8,50743.553636799996
2011,9,51666.29109462
2011,10,51341.55916326
2011,11,51193.01534161001
2011,12,53121.85676879001
2012,1,58269.293006370004
2012,2,51594.45406546001
2012,3,52740.17857493
2012,4,53474.56022570001
2012,5,65723.74383354001
2012,6,63431.33245500002
2012,7,67591.38639419002
2012,8,65567.67790749
2012,9,62329.43869167001
2012,10,65077.97657413002
2012,11,65847.50705950001
2012,12,67893.6943938
2013,1,72853.60485604
2013,2,66873.10893975
2013,3,66136.01891665
2013,4,73518.55217084999
2013,5,84211.76372537
2013,6,81406.07617957
2013,7,88845.42634186
2013,8,82919.20846493999
2013,9,78725.01911933998
2013,10,81060.39836161002
2013,11,80664.34916908
2013,12,83325.71715459
2014,1,100412.69535067999
2014,2,89086.65586356
2014,3,86674.74302964
2014,4,100925.89657225
2014,5,112848.52185437999
2014,6,109694.78630751999
2014,7,118938.32227598001
2014,8,108465.66327851001
2014,9,108403.38675541
2014,10,114522.41702627
2014,11,111592.01890736999
2014,12,118742.17369546999
2015,1,131440.85291302
2015,2,117306.18988113999
2015,3,117802.18738155
2015,4,122639.48926682999
2015,5,149480.33057596
2015,6,152765.88871851
2015,7,162496.08522505994
2015,8,145788.86357199
2015,9,141974.81378382
2015,10,147517.89342813
2015,11,142611.06196653
2015,12,159325.85141353
2016,1,180198.19927293004
2016,2,149550.30871888
2016,3,153098.87526078
2016,4,165909.68218736997
2016,5,185505.11335934998
2016,6,190361.01983863997
2016,7,201503.56622362998
2016,8,183131.26267529
2016,9,185327.02638845998
2016,10,184074.90558679
2016,11,200030.82888337
2016,12,294356.65294723
2017,1,235944.99775291
2017,2,191585.27607490003
2017,3,232579.93598354995
2017,4,207468.12033602
2017,5,226792.49644697
2017,6,246415.80040132997
2017,7,265716.96495846
2017,8,243036.59707484
2017,9,245800.52437966003
2017,10,241669.62798505998
2017,11,247599.09234450004
2017,12,257607.30954700997
2018,1,293193.32750142005
2018,2,259734.99714640004
2018,3,263187.37616327
2018,4,261331.8831765
2018,5,321218.76460516
2018,6,324229.81239091
2018,7,328580.02190116
2018,8,321228.49518613995
2018,9,322970.7891477799
2018,10,340732.59268525
2018,11,328749.0915107
2018,12,348251.99695375003
2019,1,403724.76696568
2019,2,362547.45077915007
2019,3,359463.83261614
2019,4,395160.53762595996
2019,5,474764.43321153003
2019,6,488482.4308231502
2019,7,497959.5866169001
2019,8,496424.62414022
2019,9,460336.65888442
2019,10,486655.93511950993
2019,11,514581.30182220007
2019,12,533436.36788793
2020,1,583299.75219184
2020,2,517456.13717547007
2020,3,489768.7088621501
2020,4,440663.38891268
2020,5,543693.7055686701
2020,6,591680.06965594
2020,7,620564.9561889601
2020,8,661649.9176617702
2020,9,656784.1798201599
2020,10,694917.72331482
2020,11,702232.8123150001
2020,12,734698.8886128
2021,1,847396.08080802
2021,2,776442.1962077401
2021,3,827846.277896
2021,4,883502.3067697299
2021,5,929456.42826613
2021,6,991092.1769572601
2021,7,1027723.05094149
2021,8,1082636.31032022
2021,9,1056068.1827176502
2021,10,1097622.3340129699
2021,11,1117554.32321109
2021,12,1269391.1029456903
2022,1,1291122.45628632
2022,2,1263972.90544106
2022,3,1344469.19827927
2022,4,1450063.3326155501
2022,5,1665308.56382018
2022,6,1796690.6546253897
2022,7,1908711.3495111002
2022,8,1864163.8350606998
2022,9,2267832.4863164
2022,10,2107729.1177218203
2022,11,2109023.8176058
2022,12,2471538.5320785698
2023,1,2501039.7434858903
2023,2,2317952.24699464
2023,3,2544256.2831335603
2023,4,2773782.02508567
2023,5,3419271.624565611
2023,6,3786987.22737658
2023,7,3911073.62978366
2023,8,4367732.549592
2023,9,4622744.80837262
2023,10,4810735.94016337
2023,11,5062572.469792679
2023,12,6345042.72707034
2024,1,8372545.81630327
2024,2,7845154.2057150975
2024,3,8380132.08098642
2024,4,9396932.97537987
2024,5,14186957.13500341
2024,6,12109198.556519259
2024,7,13114686.085873738
2024,8,12728471.89050519
2024,9,13828312.737559201
2024,10,13836415.111909362
2024,11,14085458.403796362
2024,12,14147188.049613744
2025,1,16612982.154993393
2025,2,14771403.762739982
2025,3,13985341.995117592
2025,4,15014754.71973621
2025,5,17197840.860127654
2025,6,17530573.78079476
2025,7,18842042.8933596
