anio,mes,valor
1990,1,795.559099
1990,2,811.273028
1990,3,1163.51319
1990,4,1014.905409
1990,5,1105.745239
1990,6,1076.145838
1990,7,1279.352905
1990,8,1127.166759
1990,9,1024.587949
1990,10,972.653268
1990,11,950.53545
1990,12,1031.093952
1991,1,673.587459
1991,2,807.145431
1991,3,867.2675409999999
1991,4,1002.226905
1991,5,1228.238685
1991,6,1141.580517
1991,7,1302.126745
1991,8,1074.343869
1991,9,1078.621293
1991,10,1009.163347
1991,11,920.62936
1991,12,872.8542640000001
1992,1,725.798174
1992,2,851.896974
1992,3,984.648674
1992,4,998.051464
1992,5,1137.679956
1992,6,1193.100746
1992,7,1195.712358
1992,8,1076.604947
1992,9,1061.597203
1992,10,952.050346
1992,11,1032.547239
1992,12,1025.260664
1993,1,902.00694
1993,2,910.3047779999999
1993,3,1075.032851
1993,4,1078.632048
1993,5,1220.789166
1993,6,1277.882034
1993,7,1161.519236
1993,8,1082.734049
1993,9,1190.60363
1993,10,1091.679142
1993,11,1015.526883
1993,12,1111.047183
1994,1,963.367588
1994,2,965.827324
1994,3,1126.63514
1994,4,1221.823159
1994,5,1598.178729
1994,6,1458.462167
1994,7,1430.051035
1994,8,1469.645104
1994,9,1356.761737
1994,10,1355.191661
1994,11,1420.879323
1994,12,1472.390488
1995,1,1341.892936
1995,2,1392.176762
1995,3,1801.805398
1995,4,1897.065341
1995,5,2270.440256
1995,6,2149.367295
1995,7,1842.449197
1995,8,1766.727141
1995,9,1664.471229
1995,10,1577.411756
1995,11,1588.758572
1995,12,1670.542255
1996,1,1449.080019
1996,2,1419.825616
1996,3,1869.067257
1996,4,2013.250436
1996,5,2386.376368
1996,6,2205.984287
1996,7,2225.214897
1996,8,2270.073421
1996,9,1943.261033
1996,10,2073.768079
1996,11,1918.357024
1996,12,2036.458536
1997,1,1894.771291
1997,2,1884.397762
1997,3,1994.675591
1997,4,2420.242907
1997,5,2562.975662
1997,6,2265.186338
1997,7,2357.720678
1997,8,2356.217585
1997,9,2276.578857
1997,10,2373.950293
1997,11,2022.435923
1997,12,2021.701632
1998,1,1767.165552
1998,2,1883.433118
1998,3,2239.499068
1998,4,2489.795725
1998,5,2571.806531
1998,6,2624.455168
1998,7,2362.119198
1998,8,2367.288775
1998,9,2297.692201
1998,10,2015.444098
1998,11,1884.364998
1998,12,1930.633962
1999,1,1543.548732
1999,2,1523.961372
1999,3,1997.620964
1999,4,2034.355489
1999,5,2219.881806
1999,6,2129.491227
1999,7,1940.966322
1999,8,2098.959408
1999,9,1897.670763
1999,10,1900.922454
1999,11,1965.448523
1999,12,2055.807683
2000,1,1768.244543
2000,2,1783.322687
2000,3,2160.647313
2000,4,2324.368432
2000,5,2600.344922
2000,6,2390.7072239999998
2000,7,2364.106024
2000,8,2216.324865
2000,9,2158.032348
2000,10,2071.541729
2000,11,2146.940426
2000,12,2356.448472
2001,1,2041.302466
2001,2,1843.380988
2001,3,2023.50844
2001,4,2392.066811
2001,5,2567.36461
2001,6,2544.933963
2001,7,2353.030752
2001,8,2510.006543
2001,9,2192.274464
2001,10,2050.485358
2001,11,2070.303061
2001,12,1954.068883
2002,1,1817.821769
2002,2,1781.933597
2002,3,2112.397988
2002,4,2181.683896
2002,5,2369.474217
2002,6,2226.4524
2002,7,2244.532617
2002,8,2176.77287
2002,9,2296.652424
2002,10,2258.078685
2002,11,2160.459019
2002,12,2024.339229
2003,1,2194.600115
2003,2,2128.348099
2003,3,2252.140654
2003,4,2458.771586
2003,5,3122.970139
2003,6,2874.302247
2003,7,2835.561342
2003,8,2346.896698
2003,9,2368.509313
2003,10,2441.194198
2003,11,2453.730904
2003,12,2461.72732
2004,1,2322.450679
2004,2,2395.035139
2004,3,2657.573743
2004,4,3039.747864
2004,5,3394.395773
2004,6,2950.695035
2004,7,3034.288112
2004,8,2944.953517
2004,9,3001.937097
2004,10,2830.652208
2004,11,3041.861773
2004,12,2962.142762
2005,1,2781.10538472
2005,2,2606.25579542
2005,3,3054.43422417
2005,4,3560.85679179
2005,5,3695.28917558
2005,6,3450.19364309
2005,7,3601.00163083
2005,8,3837.36496993
2005,9,3482.92912183
2005,10,3398.85660048
2005,11,3273.90673193
2005,12,3644.56755523
2006,1,3187.53118885
2006,2,3089.94789967
2006,3,3647.99071913
2006,4,3925.34138827
2006,5,4181.28523601
2006,6,3847.77893888
2006,7,3816.863382
2006,8,4246.16490995
2006,9,4048.10829441
2006,10,4203.73495455
2006,11,4110.08171012
2006,12,4241.37445591
2007,1,3389.54999207
2007,2,3587.33808625
2007,3,4172.58585439
2007,4,4298.55549804
2007,5,4855.84475278
2007,6,4521.09359831
2007,7,4614.2473973
2007,8,4921.64104283
2007,9,4827.80913658
2007,10,5580.77971691
2007,11,5424.21401639
2007,12,5786.64949379
2008,1,5818.32826609
2008,2,5225.65804597
2008,3,4990.84442066
2008,4,5845.65635261
2008,5,6240.2889257
2008,6,5407.03152667
2008,7,7010.51823698
2008,8,7366.70027997
2008,9,6918.72559486
2008,10,6061.19240792
2008,11,4902.9249549
2008,12,4230.9704198
2009,1,3714.72179617
2009,2,3944.7629906
2009,3,4263.70691454
2009,4,5052.29655515
2009,5,5203.36311545
2009,6,5211.30189334
2009,7,4924.71617438
2009,8,4351.90853207
2009,9,4530.72296451
2009,10,4807.72672213
2009,11,4872.38400269
2009,12,4794.4849751
2010,1,4408.1579867
2010,2,3958.94856524
2010,3,4687.49526522
2010,4,6208.02178159
2010,5,6502.82266765
2010,6,6369.26284241
2010,7,5983.80409965
2010,8,6382.98920181
2010,9,6374.98382671
2010,10,5898.59780158
2010,11,5915.33007539
2010,12,5484.03293547
2011,1,5185.12354546
2011,2,5398.02331527
2011,3,6098.10815367
2011,4,7042.87255537
2011,5,7932.87781064
2011,6,7816.97600448
2011,7,7225.60453793
2011,8,8328.46101951
2011,9,7718.19765888
2011,10,7435.41799125
2011,11,6493.16602762
2011,12,6306.26266184
2012,1,5399.28310439
2012,2,6004.52860677
2012,3,6199.97177177
2012,4,6714.95581234
2012,5,7080.82807468
2012,6,6822.17082969
2012,7,7655.11477343
2012,8,7451.10289995
2012,9,6803.12769803
2012,10,6889.20924882
2012,11,6649.42663669
2012,12,6312.66843165
2013,1,5383.03303075
2013,2,4905.87306605
2013,3,6159.95075635
2013,4,6895.39059262
2013,5,8393.24517928
2013,6,7483.39320457
2013,7,6930.6567039
2013,8,7199.536885
2013,9,6544.80737048
2013,10,6026.97618903
2013,11,5089.56340598
2013,12,4950.55497706
2014,1,4275.30071219
2014,2,4647.73167519
2014,3,4912.95677046
2014,4,6478.5222881
2014,5,7178.51780478
2014,6,7203.70647853
2014,7,6416.91367617
2014,8,6419.95554828
2014,9,5685.23227474
2014,10,5794.03741877
2014,11,4889.18890312
2014,12,4502.28306792
2015,1,3795.98349349
2015,2,3871.71651371
2015,3,4381.46026135
2015,4,5155.27151519
2015,5,5205.50413008
2015,6,6046.47372914
2015,7,5568.89347802
2015,8,5135.72420696
2015,9,5162.00238878
2015,10,5032.9572304
2015,11,3998.62885319
2015,12,3429.33670337
2016,1,3880.89381
2016,2,4140.90057336
2016,3,4420.8489056
2016,4,4739.5571006
2016,5,5383.43115187
2016,6,5304.93551653
2016,7,5001.60749981
2016,8,5763.76941121
2016,9,5049.55097105
2016,10,4736.73384098
2016,11,4837.42061069
2016,12,4649.44810088
2017,1,4290.75505794
2017,2,3899.34773492
2017,3,4564.6711114
2017,4,4866.62981228
2017,5,5493.18163468
2017,6,5158.48680165
2017,7,5304.08365055
2017,8,5272.37719574
2017,9,5268.23685737
2017,10,5280.53326543
2017,11,4668.00952733
2017,12,4578.4209987
2018,1,4810.2403818
2018,2,4304.2139995
2018,3,5416.66483242
2018,4,5216.33094157
2018,5,5163.05521342
2018,6,5133.42608023
2018,7,5414.83105051
2018,8,5201.81017499
2018,9,5036.80839675
2018,10,5398.12559373
2018,11,5349.60764934
2018,12,5336.41428687
2019,1,4584.79247889
2019,2,4447.65333873
2019,3,5136.9720131
2019,4,5337.17544789
2019,5,6043.68990849
2019,6,5239.14493306
2019,7,5855.71646803
2019,8,5568.03563596
2019,9,5746.03701536
2019,10,5889.09279366
2019,11,5892.6712105
2019,12,5374.34537988
2020,1,4579.46881829
2020,2,4377.98623343
2020,3,4382.66937892
2020,4,4349.28632508
2020,5,5077.74892848
2020,6,4785.94670694
2020,7,4931.05458813
2020,8,4954.6154336
2020,9,4726.50083528
2020,10,4674.04444197
2020,11,4500.43265594
2020,12,3544.06809958
2021,1,4911.99989689
2021,2,4774.99899487
2021,3,5719.99879677
2021,4,6142.99869995
2021,5,6812.69121124
2021,6,7009.85373819
2021,7,7251.90693318
2021,8,8098.85623198
2021,9,7570.18929044
2021,10,6862.57009727
2021,11,6191.18818131
2021,12,6587.06291449
2022,1,5591.29268398
2022,2,6517.72030512
2022,3,7408.02816163
2022,4,8366.21086423
2022,5,8361.06814357
2022,6,8456.58891046
2022,7,7656.26690543
2022,8,7583.23891063
2022,9,7493.95396504
2022,10,8021.38090308
2022,11,7136.99028171
2022,12,6110.13657022
2023,1,4953.99836153
2023,2,5247.75837869
2023,3,5760.73638581
2023,4,5868.31573942
2023,5,6280.48585939
2023,6,5433.52126245
2023,7,6074.96578468
2023,8,5934.75454907
2023,9,5788.38556041
2023,10,5405.5850343
2023,11,4934.22726689
2023,12,5305.01096876
2024,1,5412.32394984
2024,2,5550.15215922
2024,3,6491.94579496
2024,4,6511.29105414
2024,5,7666.53390988
2024,6,6567.23094027
2024,7,7185.79165543
2024,8,6757.78532023
2024,9,6952.88047943
2024,10,7032.24999014
2024,11,6526.00222519
2024,12,7049.01924352
2025,1,5914.84804218
2025,2,6139.7040571
2025,3,6642.34697319
2025,4,6674.33068417
2025,5,7095.18297927
2025,6,7275.26064524
2025,7,7760.55566787
