anio,mes,valor
1990,1,385.75274
1990,2,226.159215
1990,3,302.887158
1990,4,276.457304
1990,5,302.133491
1990,6,267.684292
1990,7,313.410346
1990,8,312.275644
1990,9,326.249139
1990,10,424.849874
1990,11,439.175049
1990,12,499.63075
1991,1,492.60817099999997
1991,2,400.271263
1991,3,407.690465
1991,4,614.437466
1991,5,522.076633
1991,6,606.455566
1991,7,748.355735
1991,8,759.651026
1991,9,768.24893
1991,10,936.879785
1991,11,1054.902065
1991,12,963.693829
1992,1,902.946207
1992,2,914.187817
1992,3,1070.337821
1992,4,1186.042169
1992,5,1110.860199
1992,6,1284.734088
1992,7,1459.96013
1992,8,1429.65203
1992,9,1465.142073
1992,10,1516.816844
1992,11,1273.692829
1992,12,1257.381961
1993,1,1038.647448
1993,2,897.605584
1993,3,1322.928657
1993,4,1206.81051
1993,5,1253.398408
1993,6,1410.186221
1993,7,1559.202869
1993,8,1538.31554
1993,9,1562.630385
1993,10,1570.284496
1993,11,1757.792572
1993,12,1665.710237
1994,1,1578.238036
1994,2,1487.035885
1994,3,1849.848279
1994,4,1751.819589
1994,5,1740.954586
1994,6,1835.794898
1994,7,1775.966983
1994,8,2102.829972
1994,9,1766.01408
1994,10,1840.003546
1994,11,1891.8529819999999
1994,12,1969.896542
1995,1,1717.910739
1995,2,1629.544245
1995,3,1890.613932
1995,4,1485.177409
1995,5,1721.813152
1995,6,1573.118779
1995,7,1518.781747
1995,8,1743.831589
1995,9,1654.549873
1995,10,1752.375214
1995,11,1833.026093
1995,12,1600.93972
1996,1,1681.946086
1996,2,1522.092476
1996,3,1781.66975
1996,4,1812.935182
1996,5,1916.198684
1996,6,1996.430468
1996,7,2291.016833
1996,8,2307.531306
1996,9,1980.870151
1996,10,2294.085075
1996,11,2098.768905
1996,12,2078.263976
1997,1,2333.374522
1997,2,2026.635464
1997,3,2133.055331
1997,4,2529.043342
1997,5,2543.884835
1997,6,2446.750637
1997,7,2733.556414
1997,8,2693.938373
