anio,mes,valor
2011,1,4.14
2011,2,4.15
2011,3,4.16
2011,4,4.31
2011,5,4.3
2011,6,4.27
2011,7,4.34
2011,8,4.43
2011,9,4.43
2011,10,4.49
2011,11,4.74
2011,12,4.74
2012,1,4.79
2012,2,4.72
2012,3,4.93
2012,4,5.09
2012,5,5.92
2012,6,5.95
2012,7,6.32
2012,8,6.37
2012,9,6.3
2012,10,6.34
2012,11,6.44
2012,12,6.8
2013,1,7.92
2013,2,7.84
2013,3,8.43
2013,4,9.4
2013,5,8.8
2013,6,8.05
2013,7,8.53
2013,8,9.25
2013,9,9.48
2013,10,9.92
2013,11,9.57
2013,12,10.0
2014,1,12.65
2014,2,11.25
2014,3,10.8
2014,4,10.55
2014,5,11.4
2014,6,12.15
2014,7,12.7
2014,8,14.05
2014,9,15.7
2014,10,14.28
2014,11,13.1
2014,12,13.8
2015,1,13.6
2015,2,13.03
2015,3,12.62
2015,4,12.7
2015,5,12.65
2015,6,13.4
2015,7,14.94
2015,8,15.47
2015,9,15.99
2015,10,15.75
2015,11,14.74
2015,12,14.32
2016,1,14.27
2016,2,15.61
2016,3,15.26
2016,4,14.66
2016,5,14.51
2016,6,15.05
2016,7,15.47
2016,8,15.41
2016,9,15.71
2016,10,15.56
2016,11,16.15
2016,12,16.87
2017,1,16.64
2017,2,16.28
2017,3,15.98
2017,4,15.99
2017,5,16.39
2017,6,16.84
2017,7,18.09
2017,8,18.23
2017,9,17.91
2017,10,18.1
2017,11,17.96
2017,12,19.28
2018,1,19.95
2018,2,20.35
2018,3,20.76
2018,4,21.0
2018,5,25.97
2018,6,29.4
2018,7,28.45
2018,8,38.0
2018,9,41.3
2018,10,36.5
2018,11,38.0
2018,12,40.5
2019,1,37.5
2019,2,39.0
2019,3,43.65
2019,4,46.0
2019,5,46.0
2019,6,43.8
2019,7,45.2
2019,8,63.0
2019,9,61.25
2019,10,69.0
2019,11,69.25
2019,12,78.5
2020,1,78.0
2020,2,78.5
2020,3,83.5
2020,4,118.0
2020,5,125.0
2020,6,126.0
2020,7,136.0
2020,8,135.0
2020,9,146.0
2020,10,169.0
2020,11,155.0
2020,12,166.0
2021,1,155.0
2021,2,145.0
2021,3,141.0
2021,4,150.0
2021,5,157.0
2021,6,168.0
2021,7,180.5
2021,8,182.0
2021,9,186.0
2021,10,198.0
2021,11,201.5
2021,12,208.5
2022,1,212.5
2022,2,210.5
2022,3,200.0
2022,4,199.0
2022,5,206.0
2022,6,238.0
2022,7,298.0
2022,8,290.0
2022,9,288.0
2022,10,291.0
2022,11,314.0
2022,12,347.0
2023,1,382.0
2023,2,375.0
2023,3,393.0
2023,4,468.0
2023,5,490.0
2023,6,493.0
2023,7,550.0
2023,8,730.0
2023,9,805.0
2023,10,920.0
2023,11,895.0
2023,12,1015.0
2024,1,1195.0
2024,2,1030.0
2024,3,1010.0
2024,4,1040.0
2024,5,1230.0
2024,6,1365.0
2024,7,1360.0
2024,8,1305.0
2024,9,1235.0
2024,10,1190.0
2024,11,1120.0
2024,12,1230.0
2025,1,1220.0
2025,2,1230.0
2025,3,1325.0
2025,4,1185.0
2025,5,1180.0
2025,6,1215.0
2025,7,1335.0
2025,8,1345.0
2025,9,1440.0
