anio,mes,valor
2002,1,2.05
2002,2,2.19
2002,3,3.05
2002,4,3.03
2002,5,3.62
2002,6,3.92
2002,7,3.73
2002,8,3.64
2002,9,3.75
2002,10,3.53
2002,11,3.66
2002,12,3.37
2003,1,3.23
2003,2,3.2
2003,3,2.99
2003,4,2.83
2003,5,2.87
2003,6,2.79
2003,7,2.92
2003,8,2.96
2003,9,2.92
2003,10,2.87
2003,11,2.97
2003,12,2.955
2004,1,2.92
2004,2,2.93
2004,3,2.87
2004,4,2.8425
2004,5,2.965
2004,6,2.96
2004,7,2.9775
2004,8,3.0075
2004,9,2.9975
2004,10,2.9675
2004,11,2.9375
2004,12,2.975
2005,1,2.9375
2005,2,2.9175
2005,3,2.9275
2005,4,2.9075
2005,5,2.8925
2005,6,2.88
2005,7,2.8675
2005,8,2.91
2005,9,2.9075
2005,10,3.0025
2005,11,2.9775
2005,12,3.05
2006,1,3.0725
2006,2,3.075
2006,3,3.095
2006,4,3.0625
2006,5,3.095
2006,6,3.1
2006,7,3.105
2006,8,3.1
2006,9,3.12
2006,10,3.1125
2006,11,3.0925
2006,12,3.09
2007,1,3.1225
2007,2,3.1125
2007,3,3.12
2007,4,3.12
2007,5,3.11
2007,6,3.105
2007,7,3.1725
2007,8,3.22
2007,9,3.195
2007,10,3.1925
2007,11,3.1575
2007,12,3.1725
2008,1,3.1725
2008,2,3.185
2008,3,3.1875
2008,4,3.2325
2008,5,3.1825
2008,6,3.06
2008,7,3.0675
2008,8,3.065
2008,9,3.155
2008,10,3.48
2008,11,3.415
2008,12,3.54
2009,1,3.545
2009,2,3.64
2009,3,3.7925
2009,4,3.7425
2009,5,3.8125
2009,6,3.8375
2009,7,3.87
2009,8,3.845
2009,9,3.8425
2009,10,3.82
2009,11,3.8025
2009,12,3.8625
2010,1,3.88
2010,2,3.925
2010,3,3.885
2010,4,3.9175
2010,5,3.965
2010,6,4.01
2010,7,4.0275
2010,8,4.0075
2010,9,4.03
2010,10,4.035
2010,11,4.065
2010,12,4.1075
2011,1,4.135
2011,2,4.1525
2011,3,4.1575
2011,4,4.305
2011,5,4.2975
2011,6,4.2725
2011,7,4.34
2011,8,4.43
2011,9,4.4325
2011,10,4.4875
2011,11,4.74
2011,12,4.74
2012,1,4.79
2012,2,4.72
2012,3,4.93
2012,4,5.09
2012,5,5.92
2012,6,5.95
2012,7,6.32
2012,8,6.37
2012,9,6.3
2012,10,6.34
2012,11,6.44
2012,12,6.8
2013,1,7.92
2013,2,7.84
2013,3,8.43
2013,4,9.4
2013,5,8.8
2013,6,8.05
2013,7,8.53
2013,8,9.25
2013,9,9.48
2013,10,9.92
2013,11,9.57
2013,12,10.0
2014,1,12.65
2014,2,11.25
2014,3,10.8
2014,4,10.55
2014,5,11.4
2014,6,12.15
2014,7,12.7
2014,8,14.05
2014,9,15.7
2014,10,14.28
2014,11,13.1
2014,12,13.8
2015,1,13.6
2015,2,13.03
2015,3,12.62
2015,4,12.7
2015,5,12.65
2015,6,13.4
2015,7,14.94
2015,8,15.47
2015,9,15.99
2015,10,15.75
2015,11,14.74
2015,12,14.32
2016,1,14.27
2016,2,15.61
2016,3,15.26
2016,4,14.66
2016,5,14.51
2016,6,15.05
2016,7,15.47
2016,8,15.41
2016,9,15.71
2016,10,15.56
2016,11,16.15
2016,12,16.87
2017,1,16.64
2017,2,16.28
2017,3,15.98
2017,4,15.99
2017,5,16.39
2017,6,16.84
2017,7,18.09
2017,8,18.23
2017,9,17.91
2017,10,18.1
2017,11,17.96
2017,12,19.28
2018,1,19.95
2018,2,20.35
2018,3,20.76
2018,4,21.0
2018,5,25.97
2018,6,29.4
2018,7,28.45
2018,8,38.0
2018,9,41.3
2018,10,36.5
2018,11,38.0
2018,12,40.5
2019,1,37.5
2019,2,39.0
2019,3,43.65
2019,4,46.0
2019,5,46.0
2019,6,43.8
2019,7,45.2
2019,8,63.0
2019,9,61.25
2019,10,69.0
2019,11,69.25
2019,12,78.5
2020,1,78.0
2020,2,78.5
2020,3,83.5
2020,4,118.0
2020,5,125.0
2020,6,126.0
2020,7,136.0
2020,8,135.0
2020,9,146.0
2020,10,169.0
2020,11,155.0
2020,12,166.0
2021,1,153.0
2021,2,146.0
2021,3,141.0
2021,4,150.0
2021,5,157.0
2021,6,168.0
2021,7,180.5
2021,8,181.5
2021,9,186.0
2021,10,197.5
2021,11,201.5
2021,12,208.0
2022,1,213.0
2022,2,211.0
2022,3,200.0
2022,4,200.5
2022,5,206.0
2022,6,238.0
2022,7,296.0
2022,8,290.0
2022,9,288.0
2022,10,290.0
2022,11,314.0
2022,12,346.0
2023,1,383.0
2023,2,377.0
2023,3,393.0
2023,4,467.0
2023,5,490.0
2023,6,494.0
2023,7,550.0
2023,8,735.0
2023,9,800.0
2023,10,920.0
2023,11,905.0
2023,12,1025.0
2024,1,1195.0
2024,2,1030.0
2024,3,1010.0
2024,4,1040.0
2024,5,1225.0
2024,6,1365.0
2024,7,1370.0
2024,8,1305.0
2024,9,1235.0
2024,10,1180.0
2024,11,1115.0
2024,12,1215.0
2025,1,1220.0
2025,2,1225.0
2025,3,1325.0
2025,4,1200.0
2025,5,1170.0
2025,6,1215.0
2025,7,1320.0
2025,8,1320.0
2025,9,1440.0
