anio,mes,valor
2002,4,3.0
2002,5,3.65
2002,6,3.9
2002,7,3.74
2002,8,3.65
2002,9,3.76
2002,10,3.54
2002,11,3.66
2002,12,3.39
2003,1,3.23
2003,2,3.22
2003,3,3.02
2003,4,2.85
2003,5,2.88
2003,6,2.82
2003,7,2.94
2003,8,2.98
2003,9,2.93
2003,10,2.89
2003,11,2.99
2003,12,2.96
2004,1,2.94
2004,2,2.94
2004,3,2.88
2004,4,2.86
2004,5,2.98
2004,6,2.97
2004,7,2.99
2004,8,3.02
2004,9,3.0
2004,10,2.99
2004,11,2.96
2004,12,2.99
2005,1,2.94
2005,2,2.94
2005,3,2.94
2005,4,2.93
2005,5,2.9
2005,6,2.9
2005,7,2.88
2005,8,2.92
2005,9,2.92
2005,10,3.02
2005,11,2.99
2005,12,3.05
2006,1,3.08
2006,2,3.09
2006,3,3.09
2006,4,3.07
2006,5,3.1
2006,6,3.1
2006,7,3.1
2006,8,3.11
2006,9,3.12
2006,10,3.11
2006,11,3.09
2006,12,3.09
2007,1,3.12
2007,2,3.12
2007,3,3.12
2007,4,3.11
2007,5,3.1
2007,6,3.11
2007,7,3.16
2007,8,3.19
2007,9,3.17
2007,10,3.17
2007,11,3.16
2007,12,3.17
2008,1,3.17
2008,2,3.17
2008,3,3.18
2008,4,3.2
2008,5,3.13
2008,6,3.05
2008,7,3.05
2008,8,3.04
2008,9,3.15
2008,10,3.4
2008,11,3.38
2008,12,3.47
2009,1,3.5
2009,2,3.58
2009,3,3.74
2009,4,3.73
2009,5,3.76
2009,6,3.81
2009,7,3.84
2009,8,3.86
2009,9,3.85
2009,10,3.83
2009,11,3.82
2009,12,3.83
2010,1,3.85
2010,2,3.88
2010,3,3.89
2010,4,3.9
2010,5,3.94
2010,6,3.95
2010,7,3.96
2010,8,3.97
2010,9,3.985
2010,10,3.98
2010,11,4.0
2010,12,4.01
2011,1,4.025
2011,2,4.06
2011,3,4.07
2011,4,4.11
2011,5,4.12
2011,6,4.14
2011,7,4.17
2011,8,4.22
2011,9,4.235
2011,10,4.265
2011,11,4.3
2011,12,4.32
2012,1,4.355
2012,2,4.37
2012,3,4.395
2012,4,4.43
2012,5,4.49
2012,6,4.54
2012,7,4.6
2012,8,4.655
2012,9,4.715
2012,10,4.78
2012,11,4.85
2012,12,4.925
2013,1,4.985
2013,2,5.05
2013,3,5.13
2013,4,5.195
2013,5,5.29
2013,6,5.395
2013,7,5.515
2013,8,5.68
2013,9,5.8
2013,10,5.92
2013,11,6.15
2013,12,6.525
2014,1,8.025
2014,2,7.885
2014,3,8.01
2014,4,8.01
2014,5,8.095
2014,6,8.15
2014,7,8.23
2014,8,8.42
2014,9,8.44
2014,10,8.515
2014,11,8.54
2014,12,8.565
2015,1,8.66
2015,2,8.74
2015,3,8.835
2015,4,8.92
2015,5,9.005
2015,6,9.1
2015,7,9.2
2015,8,9.31
2015,9,9.43
2015,10,9.56
2015,11,9.7
2015,12,13.41
2016,1,14.14
2016,2,15.86
2016,3,14.89
2016,4,14.54
2016,5,14.29
2016,6,15.23
2016,7,15.28
2016,8,15.19
2016,9,15.53
2016,10,15.4
2016,11,16.11
2016,12,16.17
2017,1,16.21
2017,2,15.81
2017,3,15.67
2017,4,15.74
2017,5,16.4
2017,6,16.88
2017,7,17.94
2017,8,17.63
2017,9,17.63
2017,10,17.95
2017,11,17.68
2017,12,18.95
2018,1,19.95
2018,2,20.42
2018,3,20.46
2018,4,20.9
2018,5,25.55
2018,6,29.66
2018,7,28.05
2018,8,38.0
2018,9,41.94
2018,10,36.98
2018,11,38.82
2018,12,38.83
2019,1,38.31
2019,2,40.14
2019,3,44.4
2019,4,45.36
2019,5,46.1
2019,6,43.7
2019,7,45.03
2019,8,62.04
2019,9,59.82
2019,10,63.22
2019,11,62.93
2019,12,62.99
2020,1,63.03
2020,2,64.26
2020,3,66.58
2020,4,69.16
2020,5,70.76
2020,6,74.07
2020,7,76.39
2020,8,78.36
2020,9,80.62
2020,10,83.89
2020,11,86.72
2020,12,89.87
2021,1,92.7
2021,2,95.12
2021,3,97.69
2021,4,98.9
2021,5,100.09
2021,6,101.17
2021,7,102.06
2021,8,103.14
2021,9,104.3
2021,10,105.23
2021,11,106.48
2021,12,108.29
2022,1,110.71
2022,2,112.95
2022,3,116.45
2022,4,120.64
2022,5,125.62
2022,6,130.44
2022,7,137.93
2022,8,145.77
2022,9,154.25
2022,10,163.89
2022,11,174.55
2022,12,184.64
2023,1,194.36
2023,2,204.39
2023,3,216.24
2023,4,229.63
2023,5,250.37
2023,6,270.16
2023,7,287.92
2023,8,366.63
2023,9,367.0
2023,10,367.94
2023,11,378.37
2023,12,847.11
2024,1,875.65
2024,2,888.7
2024,3,901.63
2024,4,920.57
2024,5,934.94
2024,6,950.78
2024,7,971.53
2024,8,991.42
2024,9,1004.94
2024,10,1020.75
2024,11,1040.27
2024,12,1060.28
2025,1,1079.63
2025,2,1094.2
2025,3,1103.73
2025,4,1194.45
2025,5,1209.35
2025,6,1217.87
2025,7,1385.56
2025,8,1361.42
2025,9,1364.73
