anio,mes,valor
2014,1,0.03353704039334904
2014,2,0.05870589600128451
2014,3,0.032702019520163716
2014,4,0.022847489686599776
2014,5,0.025504666237378126
2014,6,0.02066054839476683
2014,7,0.011749155358324215
2014,8,0.02554155566816374
2014,9,0.022665921895991703
2014,10,0.013966589794013773
2014,11,0.01316655284892887
2014,12,0.011622043379712288
2015,1,0.03169269247549944
2015,2,0.014567053139005859
2015,3,0.01853634385018821
2015,4,0.020379483340766447
2015,5,0.012074153486881789
2015,6,0.01286547564754903
2015,7,0.018407833894327874
2015,8,0.016646797733361973
2015,9,0.017816588240459064
2015,10,0.01246020050333696
2015,11,0.021639304479794674
2015,12,0.05415902565715203
2016,1,0.030835480171799823
2016,2,0.030999261077246265
2016,3,0.030753799531128223
2016,4,0.045072493059223895
2016,5,0.04638419993784981
2016,6,0.026674325469720817
2016,7,0.016606549695540318
2016,8,0.002795386210245665
2016,9,0.01762344010068473
2016,10,0.02248502896810134
2016,11,0.01169276819557541
2016,12,0.01829421456394309
2017,1,0.014746109174821997
2017,2,0.023179923075117737
2017,3,0.03401801055383147
2017,4,0.022323517987834496
2017,5,0.01373262136575093
2017,6,0.008836508315233083
2017,7,0.021509159795425337
2017,8,0.014786184222589815
2017,9,0.013000100949659421
2017,10,0.011737573311047855
2017,11,0.02146958616896333
2017,12,0.030674204196174504
2018,1,0.023338882371553016
2018,2,0.024844435887829697
2018,3,0.017396354404662695
2018,4,0.03063067450747181
2018,5,0.020699144157299898
2018,6,0.031611938329362044
2018,7,0.03518506286101908
2018,8,0.0333971391297736
2018,9,0.05899560424498751
2018,10,0.05475375319136755
2018,11,0.03182352535362365
2018,12,0.026549131853975005
2019,1,0.03970627536553084
2019,2,0.038956301243949554
2019,3,0.03706753313667033
2019,4,0.030464918119735174
2019,5,0.02938061489672905
2019,6,0.024318976033032014
2019,7,0.023520517933350416
2019,8,0.03984470617256042
2019,9,0.054766106265590864
2019,10,0.029429257432530775
2019,11,0.04242159670684931
2019,12,0.03581201411524004
2020,1,0.03922993911783412
2020,2,0.018426403952686465
2020,3,0.024917074216653123
2020,4,0.013371622867422328
2020,5,0.007687216581136802
2020,6,0.013655853385324157
2020,7,0.018360000225698947
2020,8,0.02218598862392951
2020,9,0.0198913980425848
2020,10,0.03561010215177807
2020,11,0.03317864500471224
2020,12,0.04332471121497128
2021,1,0.05815839954369717
2021,2,0.03791495116006316
2021,3,0.04055031784066232
2021,4,0.03624545262433565
2021,5,0.03757631464814626
2021,6,0.03326877127660688
2021,7,0.025765124613606805
2021,8,0.021305220981526096
2021,9,0.0304986424554774
2021,10,0.027741694964858565
2021,11,0.026809169104791586
2021,12,0.03613016642731082
2022,1,0.036886143235659086
2022,2,0.04715389492885502
2022,3,0.06914990063098458
2022,4,0.05275596339488331
2022,5,0.05004190207339376
2022,6,0.05130446184970516
2022,7,0.06563421540492964
2022,8,0.06242861151084078
2022,9,0.053658547855963024
2022,10,0.06804700507663042
2022,11,0.04605957236577507
2022,12,0.05141959476788993
2023,1,0.05392665860447732
2023,2,0.07543458106457201
2023,3,0.07985447031279791
2023,4,0.06523129698064123
2023,5,0.07980161890063564
2023,6,0.053662394778258404
2023,7,0.06796373335156236
2023,8,0.12154741774885935
2023,9,0.13849898726296872
2023,10,0.0820583657141849
2023,11,0.12899119135649073
2023,12,0.241898978573017
2024,1,0.23032811081959248
2024,2,0.1335557721486642
2024,3,0.11011443524112252
2024,4,0.06737815118269519
2024,5,0.040843563270404726
2024,6,0.03701476374714163
2024,7,0.0435573817988093
2024,8,0.04729969467390882
2024,9,0.036539223563368584
2024,10,0.022317372253918055
2024,11,0.03417861807968148
2024,12,0.03487356695280841
2025,1,0.022336077267534282
2025,2,0.03658109009377242
2025,3,0.027643861823329452
2025,4,0.02489585795302074
2025,5,0.01985870087837971
2025,6,0.021853730366643065
2025,7,0.01937056769567458
