anio,mes,valor
1968,1,1.6274634002086146e-10
1968,2,1.6148751274461678e-10
1968,3,1.6214553609356288e-10
1968,4,1.6135876904590995e-10
1968,5,1.6298952256286329e-10
1968,6,1.634901925022788e-10
1968,7,1.621884506597985e-10
1968,8,1.61573341877088e-10
1968,9,1.6313257111698198e-10
1968,10,1.6434848382699105e-10
1968,11,1.6393364302004679e-10
1968,12,1.647776294893472e-10
1969,1,1.6442000810405042e-10
1969,2,1.6909769582373242e-10
1969,3,1.6978432888350223e-10
1969,4,1.7055679107574327e-10
1969,5,1.716010455208099e-10
1969,6,1.7257377568881717e-10
1969,7,1.7122911928010122e-10
1969,8,1.7237350771305095e-10
1969,9,1.740614806516518e-10
1969,10,1.7517725937377778e-10
1969,11,1.7839585184144887e-10
1969,12,1.8069893356276016e-10
1970,1,1.845755493793773e-10
1970,2,1.8649240000456806e-10
1970,3,1.9135605084460438e-10
1970,4,1.9265779268708468e-10
1970,5,1.9443159475815673e-10
1970,6,2.0168415645197556e-10
1970,7,2.0375836048669693e-10
1970,8,2.0424472557070054e-10
1970,9,2.0915129097697245e-10
1970,10,2.163895478153794e-10
1970,11,2.2282673275072156e-10
1970,12,2.292639176860637e-10
1971,1,2.445558081213543e-10
1971,2,2.5180836981517307e-10
1971,3,2.5232334461000044e-10
1971,4,2.606344656042978e-10
1971,5,2.740524199806332e-10
1971,6,2.8400859934729577e-10
1971,7,2.984278936024622e-10
1971,8,3.032057153100272e-10
1971,9,3.1640909685518454e-10
1971,10,3.16809632806717e-10
1971,11,3.237617925368865e-10
1971,12,3.3726557604569314e-10
1972,1,3.6501699554472377e-10
1972,2,4.005788660986362e-10
1972,3,4.3101959841509863e-10
1972,4,4.412332651791748e-10
1972,5,4.5233383297878707e-10
1972,6,4.880959715084657e-10
1972,7,5.107119479146344e-10
1972,8,5.445429309637105e-10
1972,9,5.558008521728533e-10
1972,10,5.773153547123079e-10
1972,11,6.033788012727377e-10
1972,12,6.223470395488793e-10
1973,1,6.568932653685487e-10
1973,2,6.922405630912832e-10
1973,3,7.412346928769429e-10
1973,4,7.831765289445499e-10
1973,5,8.125014825388865e-10
1973,6,7.887411176997679e-10
1973,7,7.827759929930175e-10
1973,8,7.804156918500587e-10
1973,9,7.969521047061821e-10
1973,10,8.008001108119755e-10
1973,11,8.26792033095346e-10
1973,12,8.323995364167995e-10
1974,1,8.302108935387832e-10
1974,2,8.449735043238347e-10
1974,3,8.472336714789103e-10
1974,4,9.081437458226589e-10
1974,5,9.378120159468803e-10
1974,6,9.690252104555839e-10
1974,7,9.943448045345962e-10
1974,8,1.020422555950438e-09
1974,9,1.0556411099744654e-09
1974,10,1.0820335682093682e-09
1974,11,1.1336884011016362e-09
1974,12,1.2095613542062024e-09
1975,1,1.2535630894531187e-09
1975,2,1.4382959922420267e-09
1975,3,1.5501313518520377e-09
1975,4,1.6160767353007648e-09
1975,5,1.681950594472433e-09
1975,6,2.542816793158857e-09
1975,7,3.136039147089166e-09
1975,8,3.7497174442584514e-09
1975,9,4.142056713639849e-09
1975,10,4.512509554241084e-09
1975,11,4.903947617731535e-09
1975,12,5.569681283744619e-09
1976,1,6.510554538749641e-09
1976,2,7.791153804931197e-09
1976,3,1.0980206746176758e-08
1976,4,1.3342381825194503e-08
1976,5,1.5143606304091118e-08
1976,6,1.6106323073310065e-08
1976,7,1.698481285386392e-08
1976,8,1.8218778291402774e-08
1976,9,1.9800594897992106e-08
1976,10,2.092115144182564e-08
1976,11,2.3196167036818853e-08
1976,12,2.44078312047706e-08
1977,1,2.7472002758270525e-08
1977,2,2.9115716474227026e-08
1977,3,3.125688153713135e-08
1977,4,3.347407690654978e-08
1977,5,3.565880025418326e-08
1977,6,3.9563382063130634e-08
1977,7,4.234563352617339e-08
1977,8,4.5569676143756393e-08
1977,9,4.814543701892879e-08
1977,10,5.4822428550395554e-08
1977,11,5.931519740416826e-08
1977,12,6.302217194045604e-08
1978,1,7.00918603626895e-08
1978,2,7.329055477648267e-08
1978,3,7.681037888941693e-08
1978,4,8.637387567016817e-08
1978,5,9.408849849864586e-08
1978,6,1.0055719703046036e-07
1978,7,1.0507517103946879e-07
1978,8,1.163206899389695e-07
1978,9,1.2565158977072373e-07
1978,10,1.3325035757522069e-07
1978,11,1.5389353706668283e-07
1978,12,1.632254525431713e-07
1979,1,1.7699871091822677e-07
1979,2,1.9215334626584044e-07
1979,3,2.1038348261244025e-07
1979,4,2.2508419628812443e-07
1979,5,2.4658612485967206e-07
1979,6,2.741306532348807e-07
1979,7,2.892592394407894e-07
1979,8,3.2254998532038067e-07
1979,9,3.4872758462699713e-07
1979,10,3.6484239047956646e-07
1979,11,3.835772021250971e-07
1979,12,4.0997224953882944e-07
1980,1,4.281726890055942e-07
1980,2,4.556848741027167e-07
1980,3,4.735452156320642e-07
1980,4,4.986081949098431e-07
1980,5,5.151807847453031e-07
1980,6,5.587868190818166e-07
1980,7,5.789866767992094e-07
1980,8,5.987716794048025e-07
1980,9,6.220154959149984e-07
1980,10,6.641757242101784e-07
1980,11,6.84631438571468e-07
1980,12,7.063555501572729e-07
1981,1,7.32231216880711e-07
1981,2,7.575322146476881e-07
1981,3,8.036410550967732e-07
1981,4,8.675851892733798e-07
1981,5,9.273437227564728e-07
1981,6,1.030314363467747e-06
1981,7,1.124875179682382e-06
1981,8,1.193913272871156e-06
1981,9,1.2815348037254923e-06
1981,10,1.362541769437379e-06
1981,11,1.5066159816891248e-06
1981,12,1.6704208810104646e-06
1982,1,1.8690581032597115e-06
1982,2,1.9638706849295957e-06
1982,3,2.05616561204699e-06
1982,4,2.12870553384059e-06
1982,5,2.2513410592865643e-06
1982,6,2.492435092398246e-06
1982,7,2.9021261513942437e-06
1982,8,3.2990715842182644e-06
1982,9,3.834974382513205e-06
1982,10,4.558084823583306e-06
1982,11,5.054162904411596e-06
1982,12,5.548696060855405e-06
1983,1,6.172931341318651e-06
1983,2,7.160567168665079e-06
1983,3,7.897825111737521e-06
1983,4,8.52381988941643e-06
1983,5,9.62726782617737e-06
1983,6,1.1529084048330266e-05
1983,7,1.2696632042191803e-05
1983,8,1.5016521968612054e-05
1983,9,1.8456553598058902e-05
1983,10,2.158545462229754e-05
1983,11,2.6254559428732383e-05
1983,12,3.0005149469170956e-05
1984,1,3.3458627662704963e-05
1984,2,3.898816952216388e-05
1984,3,4.801667901536653e-05
1984,4,5.967284739917587e-05
1984,5,7.114233741986027e-05
1984,6,8.383618001524677e-05
1984,7,9.66327314724905e-05
1984,8,0.00011484052363493693
1984,9,0.00014643737436578685
1984,10,0.0001719701107904362
1984,11,0.00019740414371274362
1984,12,0.00023041831951780173
1985,1,0.0002768447277570305
1985,2,0.00033838993768106623
1985,3,0.0004130083549660113
1985,4,0.0005463024281793707
1985,5,0.0007067213682247206
1985,6,0.0009105898760980889
1985,7,0.0009467697164057943
1985,8,0.000980629309165694
1985,9,0.001007781355222967
1985,10,0.0010250616205605078
1985,11,0.0010478378113472895
1985,12,0.0010718542330982804
1986,1,0.001096554426937959
1986,2,0.001145866124513762
1986,3,0.0011902483689146344
1986,4,0.0012439001596223998
1986,5,0.0012909860216961159
1986,6,0.0013457836313223717
1986,7,0.001427444328926581
1986,8,0.001567171295618659
1986,9,0.001685197796650928
1986,10,0.0017904100082052423
1986,11,0.0018854228578508928
1986,12,0.0019583204010297896
1987,1,0.0020903828261921863
1987,2,0.0022336173434312555
1987,3,0.0024178066617145124
1987,4,0.002512318841420747
1987,5,0.002644724583113029
1987,6,0.002844620632638521
1987,7,0.0031221062179180034
1987,8,0.00347231768811144
1987,9,0.003945279122594145
1987,10,0.004657675226960756
1987,11,0.005076807490528589
1987,12,0.005320018642241227
1988,1,0.005756402561435778
1988,2,0.006373642767602619
1988,3,0.007401160531837345
1988,4,0.008493708168774438
1988,5,0.009611460960947251
1988,6,0.011483279901301454
1988,7,0.014089438594224075
1988,8,0.017819129240905906
1988,9,0.020156256518097465
1988,10,0.02206137716185051
1988,11,0.023422341105735954
1988,12,0.024990153258877063
1989,1,0.0268470665398921
1989,2,0.029658685871095433
1989,3,0.03490542073906164
1989,4,0.051172330119225375
1989,5,0.09065416020165294
1989,6,0.18267014263851603
1989,7,0.5364964497945327
1989,8,0.6712167170924556
1989,9,0.7085995957402994
1989,10,0.747196956612611
1989,11,0.7899513084676123
1989,12,1.1595429967730526
1990,1,2.0268850035044306
1990,2,3.4470424390842043
1990,3,6.398334378529051
1990,4,6.9521039412334185
1990,5,7.6950123021935495
1990,6,8.602240537269848
1990,7,9.514516955820998
1990,8,10.984483897944907
1990,9,12.480027921545245
1990,10,13.25575162082021
1990,11,14.01296483719221
1990,12,14.573586425638867
1991,1,15.817007372604966
1991,2,19.972796747440213
1991,3,22.00952206098247
1991,4,23.159935699031667
1991,5,23.81007564216027
1991,6,24.515732729142346
1991,7,25.11180174929962
1991,8,25.448852752514135
1991,9,25.942642056476526
1991,10,26.330632649812713
1991,11,26.501918988514465
1991,12,26.654079735530537
1992,1,27.18908132793453
1992,2,27.891707216054836
1992,3,28.524611238897677
1992,4,29.00070543671558
1992,5,29.1652112739521
1992,6,29.37623650098803
1992,7,29.718723349259058
1992,8,30.090406407425714
1992,9,30.45555214666914
1992,10,30.81232954549663
1992,11,30.973030291193595
1992,12,31.122430201115176
1993,1,31.38518178532043
1993,2,31.612657596080012
1993,3,31.869644323554283
1993,4,32.16116297199281
1993,5,32.50676827874362
1993,6,32.92123715944719
1993,7,33.07281140739138
1993,8,33.08823204152538
1993,9,33.295223299335156
1993,10,33.44897188530195
1993,11,33.49926775693009
1993,12,33.52237009842027
1994,1,33.55043622473835
1994,2,33.58545451078661
1994,3,33.61854164135428
1994,4,33.74204976298037
1994,5,33.797395248568904
1994,6,33.959912710903176
1994,7,34.241003119746445
1994,8,34.33863375793247
1994,9,34.56000139543118
1994,10,34.65520020819718
1994,11,34.73632304323791
1994,12,34.791210773453265
1995,1,34.84672791730674
1995,2,34.99599908352961
1995,3,35.16554022987111
1995,4,35.37463430142644
1995,5,35.52977045836818
1995,6,35.50489431480694
1995,7,35.51510798157101
1995,8,35.453554188733726
1995,9,35.51862697600234
1995,10,35.60458485217227
1995,11,35.52693809699663
1995,12,35.6627054797107
1996,1,35.52257511609601
1996,2,35.23290179400561
1996,3,35.22519147693861
1996,4,35.44796099026769
1996,5,35.63180699202106
1996,6,35.73927937073045
1996,7,35.8710413939292
1996,8,35.849240794281506
1996,9,36.07534333892155
1996,10,35.93159384688765
1996,11,35.5828128622354
1996,12,35.09633333938847
1997,1,34.76809412710767
1997,2,34.755877780585934
1997,3,34.90773812563837
1997,4,35.17120495261421
1997,5,35.230541492862656
1997,6,35.33450918199614
1997,7,35.36828294562357
1997,8,35.60023617612706
1997,9,35.658142230834315
1997,10,35.58956475398981
1997,11,35.55175702113623
1997,12,35.58630324695589
1998,1,35.54158626893839
1998,2,35.40508933859831
1998,3,35.699139946444745
1998,4,35.918805306149444
1998,5,36.08791730682858
1998,6,36.42489678576604
1998,7,36.712481598966306
1998,8,36.825432737298435
1998,9,36.86534328389756
1998,10,36.454436312191554
1998,11,36.223112495326184
1998,12,35.56573286487363
1999,1,35.19550890195898
1999,2,35.01858215876833
1999,3,35.11611266296647
1999,4,35.28302457688327
1999,5,35.367360282449496
1999,6,35.30427873105423
1999,7,35.20269995277453
1999,8,35.12487438690624
1999,9,34.81745446119188
1999,10,34.888237746740906
