anio,mes,valor
2016,12,1.6
2017,1,2.074645537948294
2017,2,2.6912470636298647
2017,3,2.81963300014918
2017,4,2.3989166183014055
2017,5,1.8987341772152
2017,6,1.2885881153239964
2017,7,2.022698151198976
2017,8,1.3860231452408778
2017,9,1.5440428261735306
2017,10,1.2591495294527633
2017,11,1.5145647777634386
2017,12,2.5092188360954504
2018,1,1.7738267521190787
2018,2,2.8479726984643072
2018,3,2.109421291724267
2018,4,2.74672134318541
2018,5,2.7
2018,6,3.6882240797770915
2018,7,3.4014567569478737
2018,8,3.9426890986185237
2018,9,6.276935223870761
2018,10,5.578083887943031
2018,11,3.1665054094467404
2018,12,2.6117600250092465
2019,1,3.423253752838873
2019,2,3.864281506078937
2019,3,3.854582957328856
2019,4,3.4409136047666378
2019,5,3.2064513032208364
2019,6,2.77894051439469
2019,7,2.280697784917529
2019,8,3.7164030527596426
2019,9,5.711848139063669
2019,10,3.1212799870871555
2019,11,4.1400900019565645
2019,12,3.8
2020,1,2.8
2020,2,1.8
2020,3,2.3794301118003736
2020,4,2.070955981636513
2020,5,1.6138900372054552
2020,6,1.8502546744560713
2020,7,2.5
2020,8,2.8061860813170365
2020,9,2.7
2020,10,3.7
2020,11,3.6
2020,12,3.714995948525669
2021,1,4.8
2021,2,3.7
2021,3,4.273483455322677
2021,4,4.3249240831581375
2021,5,3.580264881385535
2021,6,3.2144053782384545
2021,7,3.0
2021,8,2.751426043986207
2021,9,3.0
2021,10,3.2
2021,11,2.827983723030784
2021,12,3.0716847176440827
2022,1,4.0
2022,2,4.909892411370266
2022,3,6.026821650513582
2022,4,5.946930873476819
2022,5,5.2490899188809585
2022,6,5.0676434742941225
2022,7,7.271443013038168
2022,8,6.654705594519659
2022,9,6.130170543689432
2022,10,5.76541285970455
2022,11,4.914244193380726
2022,12,5.45840186996798
2023,1,5.7
2023,2,6.5
2023,3,7.8
2023,4,8.499507307643118
2023,5,7.2
2023,6,5.673275198934712
2023,7,6.9
2023,8,12.478007501051337
2023,9,12.5
2023,10,8.7
2023,11,12.5
2023,12,27.9
2024,1,20.7
2024,2,12.3
2024,3,12.4
2024,4,7.1
2024,5,4.8
2024,6,4.3
2024,7,4.5
2024,8,4.0
2024,9,3.2
2024,10,2.6
2024,11,2.1
2024,12,2.4
2025,1,3.1
2025,2,2.6
2025,3,3.5
2025,4,2.9
2025,5,1.4
2025,6,1.9
2025,7,1.9
