anio,mes,valor
2008,1,27.4
2008,2,28.7
2008,3,27.5
2008,4,25.3
2008,5,22.4
2008,6,17.8
2008,7,15.0
2008,8,12.9
2008,9,13.7
2008,10,11.1
2008,11,9.4
2008,12,8.2
2009,1,8.5
2009,2,6.7
2009,3,2.9
2009,4,1.7
2009,5,2.6
2009,6,7.1
2009,7,7.1
2009,8,7.2
2009,9,7.6
2009,10,9.4
2009,11,13.1
2009,12,16.2
2010,1,17.3
2010,2,17.0
2010,3,19.9
2010,4,21.6
2010,5,23.0
2010,6,23.2
2010,7,26.4
2010,8,29.5
2010,9,31.1
2010,10,33.0
2010,11,33.6
2010,12,31.3
2011,1,30.8
2011,2,35.2
2011,3,37.1
2011,4,38.5
2011,5,38.7
2011,6,39.2
2011,7,40.0
2011,8,39.1
2011,9,36.8
2011,10,33.3
2011,11,32.3
2011,12,31.1
2012,1,33.9
2012,2,29.3
2012,3,29.9
2012,4,30.0
2012,5,30.4
2012,6,32.4
2012,7,32.2
2012,8,32.0
2012,9,33.7
2012,10,35.3
2012,11,35.8
2012,12,37.7
2013,1,37.3
2013,2,36.9
2013,3,35.3
2013,4,33.7
2013,5,31.7
2013,6,30.7
2013,7,28.7
2013,8,27.6
2013,9,27.8
2013,10,28.1
2013,11,26.4
2013,12,25.3
2014,1,22.4
2014,2,20.3
2014,3,18.9
2014,4,18.6
2014,5,19.1
2014,6,20.3
2014,7,21.9
2014,8,23.1
2014,9,23.3
2014,10,23.1
2014,11,24.5
2014,12,26.1
2015,1,28.3
2015,2,31.3
2015,3,32.7
2015,4,34.3
2015,5,35.8
2015,6,35.8
2015,7,36.0
2015,8,35.8
2015,9,35.8
2015,10,36.0
2015,11,36.8
2015,12,37.2
2016,1,29.2
2016,2,28.1
2016,3,27.6
2016,4,25.6
2016,5,23.1
2016,6,21.4
2016,7,20.6
2016,8,19.4
2016,9,19.5
2016,10,20.4
2016,11,21.5
2016,12,24.4
2017,1,31.0
2017,2,31.2
2017,3,31.6
2017,4,32.5
2017,5,33.0
2017,6,35.7
2017,7,35.2
2017,8,36.2
2017,9,36.2
2017,10,35.6
2017,11,34.3
2017,12,32.8
2018,1,30.4
2018,2,30.7
2018,3,29.5
2018,4,28.1
2018,5,26.7
2018,6,24.0
2018,7,21.2
2018,8,20.1
2018,9,19.3
2018,10,15.0
2018,11,11.6
2018,12,15.9
2019,1,13.2
2019,2,13.1
2019,3,16.2
2019,4,18.4
2019,5,21.3
2019,6,24.6
2019,7,23.7
2019,8,25.9
2019,9,32.0
2019,10,36.4
2019,11,38.2
2019,12,40.9
2020,1,50.0
2020,2,58.6
2020,3,65.2
2020,4,88.8
2020,5,100.9
2020,6,102.3
2020,7,106.5
2020,8,103.6
2020,9,92.0
2020,10,91.9
2020,11,96.0
2020,12,82.2
2021,1,73.5
2021,2,66.0
2021,3,58.2
2021,4,36.9
2021,5,30.3
2021,6,31.5
2021,7,33.1
2021,8,36.8
2021,9,41.6
2021,10,45.2
2021,11,49.0
2021,12,54.4
2022,1,57.7
2022,2,58.0
2022,3,56.1
2022,4,58.7
2022,5,61.6
2022,6,63.4
2022,7,66.7
2022,8,62.5
2022,9,64.0
2022,10,62.0
2022,11,60.7
2022,12,69.3
2023,1,68.7
2023,2,79.0
2023,3,83.6
2023,4,86.3
2023,5,86.7
2023,6,88.3
2023,7,83.3
2023,8,99.0
2023,9,105.6
2023,10,129.5
2023,11,128.1
2023,12,138.7
2024,1,175.1
2024,2,152.3
2024,3,152.5
2024,4,145.9
2024,5,163.3
2024,6,176.0
2024,7,189.1
2024,8,169.6
2024,9,154.5
2024,10,123.8
2024,11,124.4
2024,12,110.8
2025,1,80.0
2025,2,69.3
2025,3,22.8
2025,4,33.7
2025,5,23.4
2025,6,10.8
2025,7,2.6
2025,8,-3.1
2025,9,-6.8
