anio,mes,valor
2008,1,24377392.73734
2008,2,21817603.68735
2008,3,19874246.424889997
2008,4,22574032.167110004
2008,5,26632216.59437
2008,6,26032756.767729998
2008,7,27850044.22644
2008,8,26830066.194219995
2008,9,26557346.90683
2008,10,26980235.36391
2008,11,23939772.206740007
2008,12,25595758.93828
2009,1,26341992.86793
2009,2,24618111.115859997
2009,3,23594132.39461
2009,4,24922029.94252
2009,5,29152063.006480005
2009,6,28697891.12394
2009,7,29647628.01308
2009,8,27027903.974209998
2009,9,28216983.695649996
2009,10,28390514.89107
2009,11,28188985.78692
2009,12,30387187.741100006
2010,1,31660848.00384
2010,2,29774623.42244
2010,3,30876326.991100002
2010,4,32470240.14923
2010,5,41815829.19084
2010,6,39857299.845010005
2010,7,40758866.26167999
2010,8,37333071.69281
2010,9,38480610.32311
2010,10,38838257.93877
2010,11,39326401.24825001
2010,12,41226914.32949
2011,1,44794025.91717
2011,2,40083049.200909995
2011,3,40646198.282979995
2011,4,42949113.76343001
2011,5,54192976.24705002
2011,6,52236509.18944
2011,7,52630130.419800006
2011,8,50743553.6368
2011,9,51666291.09462
2011,10,51341559.16326
2011,11,51193015.34161001
2011,12,53121856.76879001
2012,1,58269293.00637
2012,2,51594454.06546001
2012,3,52740178.574930005
2012,4,53474560.225700006
2012,5,65723743.83354001
2012,6,63431332.45500002
2012,7,67591386.39419001
2012,8,65567677.90749
2012,9,62329438.69167001
2012,10,65077976.57413002
2012,11,65847507.05950001
2012,12,67893694.3938
2013,1,72853604.85604
2013,2,66873108.93975001
2013,3,66136018.916650005
2013,4,73518552.17085
2013,5,84211763.72536999
2013,6,81406076.17956999
2013,7,88845426.34186
2013,8,82919208.46494
2013,9,78725019.11933999
2013,10,81060398.36161001
2013,11,80664349.16908
2013,12,83325717.15459001
2014,1,100412695.35068
2014,2,89086655.86355999
2014,3,86674743.02964
2014,4,100925896.57225
2014,5,112848521.85437998
2014,6,109694786.30751999
2014,7,118938322.27598001
2014,8,108465663.27851
2014,9,108403386.75541
2014,10,114522417.02627
2014,11,111592018.90736999
2014,12,118742173.69546999
2015,1,131440852.91302001
2015,2,117306189.88114
2015,3,117802187.38155
2015,4,122639489.26682998
2015,5,149480330.57595998
2015,6,152765888.71851
2015,7,162496085.22505996
2015,8,145788863.57198998
2015,9,141974813.78382
2015,10,147517893.42813
2015,11,142611061.96653
2015,12,159325851.41353
2016,1,180198199.27293003
2016,2,149550308.71888
2016,3,153098875.26078
2016,4,165909682.18736997
2016,5,185505113.35935
2016,6,190361019.83863997
2016,7,201503566.22362998
2016,8,183131262.67529
2016,9,185327026.38845998
2016,10,184074905.58679
2016,11,200030828.88337
2016,12,294356652.94723
2017,1,235944997.75291002
2017,2,191585276.07490003
2017,3,232579935.98354995
2017,4,207468120.33602
2017,5,226792496.44697002
2017,6,246415800.40132996
2017,7,265716964.95846
2017,8,243036597.07484
2017,9,245800524.37966004
2017,10,241669627.98505998
2017,11,247599092.34450004
2017,12,257607309.54700997
2018,1,293193327.50142
2018,2,259734997.14640003
2018,3,263187376.16326997
2018,4,261331883.1765
2018,5,321218764.60516
2018,6,324229812.39090997
2018,7,328580021.90116
2018,8,321228495.18613994
2018,9,322970789.14777994
2018,10,340732592.68525
2018,11,328749091.5107
2018,12,348251996.95375
2019,1,403724766.96568
2019,2,362547450.77915007
2019,3,359463832.61614
2019,4,395160537.62595993
2019,5,474764433.21153
2019,6,488482430.8231502
2019,7,497959586.6169001
2019,8,496424624.14022
2019,9,460336658.88442
2019,10,486655935.11950994
2019,11,514581301.82220006
2019,12,533436367.88793004
2020,1,583299752.1918399
2020,2,517456137.17547005
2020,3,489768708.8621501
2020,4,440663388.91268
2020,5,543693705.56867
2020,6,591680069.65594
2020,7,620564956.1889601
2020,8,661649917.6617702
2020,9,656784179.8201599
2020,10,694917723.3148199
2020,11,702232812.315
2020,12,734698888.6128
2021,1,847396.08080802
2021,2,776442.1962077401
2021,3,827846.277896
2021,4,883502.3067697299
2021,5,929456.42826613
2021,6,991092.1769572601
2021,7,1027723.05094149
2021,8,1082636.31032022
2021,9,1056068.1827176502
2021,10,1097622.3340129699
2021,11,1117554.32321109
2021,12,1269391.1029456903
2022,1,1291122.45628632
2022,2,1263972.90544106
2022,3,1344469.19827927
2022,4,1450063.3326155501
2022,5,1665308.56382018
2022,6,1796690.6546253897
2022,7,1908711.3495111002
2022,8,1864163.8350606998
2022,9,2267832.4863164
2022,10,2107729.1177218203
2022,11,2109023.8176058
2022,12,2471538.5320785698
2023,1,2501039.7434858903
2023,2,2317952.24699464
2023,3,2544256.2831335603
2023,4,2773782.02508567
2023,5,3419271.624565611
2023,6,3786987.22737658
2023,7,3911073.62978366
2023,8,4367732.549592
2023,9,4622744.80837262
2023,10,4810735.94016337
2023,11,5062572.469792679
2023,12,6345042.72707034
2024,1,8372545.81630327
2024,2,7845154.2057150975
2024,3,8380132.08098642
2024,4,9396932.97537987
2024,5,14186957.13500341
2024,6,12109198.556519259
2024,7,13114686.085873738
2024,8,12728471.89050519
2024,9,13828312.737559201
2024,10,13836415.111909362
2024,11,14085458.403796362
2024,12,14147188.049613744
2025,1,16612982.154993393
2025,2,14771403.762739982
2025,3,13985341.995117592
2025,4,15014754.71973621
2025,5,17197840.860127654
2025,6,17530573.78079476
2025,7,18842042.8933596
